,date,open,high,low,close,volume,amount,outstanding_share,turnover,symbol,name
0,2023-05-31,11.0,11.72,10.79,10.89,15346788.0,173989556.0,63055240.0,0.24338640214516669,bj430017,星昊医药
1,2023-06-01,10.51,10.51,10.09,10.23,5461477.0,56047364.0,63055240.0,0.08661416561097857,bj430017,星昊医药
2,2023-06-02,10.13,10.7,10.12,10.35,2739099.0,28534170.0,63055240.0,0.04343967289633661,bj430017,星昊医药
3,2023-06-05,10.44,10.48,10.15,10.22,1490459.0,15270191.0,63055240.0,0.023637353533187726,bj430017,星昊医药
4,2023-06-06,10.19,10.29,10.12,10.17,1100327.0,11186598.0,63055240.0,0.017450207151697462,bj430017,星昊医药
5,2023-06-07,10.12,10.18,10.06,10.09,1111810.0,11228938.0,63055240.0,0.017632317314151845,bj430017,星昊医药
6,2023-06-08,10.09,10.12,10.06,10.07,595365.0,6004709.0,63055240.0,0.009441959145663389,bj430017,星昊医药
7,2023-06-09,10.08,10.1,9.91,9.96,954970.0,9542824.0,63055240.0,0.015144974470004397,bj430017,星昊医药
8,2023-06-12,9.98,9.99,9.93,9.97,410813.0,4090069.0,63055240.0,0.006515128639586496,bj430017,星昊医药
9,2023-06-13,9.95,10.05,9.94,9.99,452741.0,4519303.0,63055240.0,0.007180069412153534,bj430017,星昊医药
10,2023-06-14,10.05,10.09,9.99,9.99,555932.0,5568403.0,63055240.0,0.008816586853051388,bj430017,星昊医药
11,2023-06-15,10.0,10.03,9.98,10.0,584184.0,5841320.0,63055240.0,0.009264638434490139,bj430017,星昊医药
12,2023-06-16,10.08,10.37,10.01,10.26,1410887.0,14406441.0,63055240.0,0.022375412416160815,bj430017,星昊医药
13,2023-06-19,10.26,10.26,10.0,10.07,875392.0,8834277.0,63055240.0,0.01388293819831627,bj430017,星昊医药
14,2023-06-20,10.09,10.31,10.03,10.22,781560.0,7966990.0,63055240.0,0.012394846169802859,bj430017,星昊医药
15,2023-06-21,10.16,10.27,10.05,10.17,835734.0,8469889.0,63055240.0,0.013253997605908724,bj430017,星昊医药
16,2023-06-26,10.08,10.2,10.0,10.02,598763.0,6017959.0,63055240.0,0.009495848402131211,bj430017,星昊医药
17,2023-06-27,10.09,10.09,10.01,10.04,268817.0,2700599.0,63055240.0,0.00426319842728376,bj430017,星昊医药
18,2023-06-28,10.08,10.08,9.95,9.98,341301.0,3408710.0,63055240.0,0.005412730171195923,bj430017,星昊医药
19,2023-06-29,9.98,10.03,9.95,9.99,459673.0,4589595.0,63055240.0,0.007290004764076705,bj430017,星昊医药
20,2023-06-30,10.03,10.06,9.95,9.99,633081.0,6329214.0,63055240.0,0.010040101346057838,bj430017,星昊医药
21,2023-07-03,10.03,10.03,9.95,10.02,645173.0,6440553.0,63055240.0,0.010231869706625492,bj430017,星昊医药
22,2023-07-04,10.0,10.17,9.99,10.13,530272.0,5352656.0,63055240.0,0.008409642085257308,bj430017,星昊医药
23,2023-07-05,10.09,10.2,10.09,10.14,518929.0,5265469.0,63055240.0,0.008229752198231265,bj430017,星昊医药
24,2023-07-06,10.17,10.18,10.07,10.1,241904.0,2445776.0,63055240.0,0.003836382194406048,bj430017,星昊医药
25,2023-07-07,10.18,10.18,10.08,10.11,232171.0,2346695.0,63055240.0,0.0036820254748059006,bj430017,星昊医药
26,2023-07-10,10.15,10.15,10.1,10.11,130223.0,1316939.0,63055240.0,0.0020652209078896536,bj430017,星昊医药
27,2023-07-11,10.1,10.1,10.04,10.05,345770.0,3477736.0,63055240.0,0.0054836045346905345,bj430017,星昊医药
28,2023-07-12,10.06,10.08,10.0,10.03,253618.0,2545013.0,63055240.0,0.004022155811317188,bj430017,星昊医药
29,2023-07-13,10.03,10.1,10.01,10.08,288813.0,2912598.0,63055240.0,0.004580317194891336,bj430017,星昊医药
30,2023-07-14,10.06,10.08,10.02,10.08,149061.0,1499160.0,63055240.0,0.002363974825882829,bj430017,星昊医药
31,2023-07-17,10.13,10.13,10.04,10.05,195949.0,1971315.0,63055240.0,0.003107576785053867,bj430017,星昊医药
32,2023-07-18,10.05,10.1,10.02,10.06,212907.0,2141402.0,63055240.0,0.0033765155758664943,bj430017,星昊医药
33,2023-07-19,10.07,10.08,10.02,10.05,817265.0,8210790.0,63055240.0,0.012961095699580242,bj430017,星昊医药
34,2023-07-20,10.05,10.09,10.03,10.04,263250.0,2646530.0,63055240.0,0.004174910760786891,bj430017,星昊医药
35,2023-07-21,10.05,10.08,10.03,10.05,646828.0,6479218.0,63055240.0,0.010258116534010497,bj430017,星昊医药
36,2023-07-24,10.06,10.07,10.02,10.04,464903.0,4672589.0,63055240.0,0.007372947910435358,bj430017,星昊医药
37,2023-07-25,10.07,10.08,10.04,10.07,284270.0,2857846.0,63055240.0,0.004508269257241746,bj430017,星昊医药
